,_id,textDisplay,Overview sentiment,Features,,เพิ่มใน Lexicon
45,64b6c01aa4428eeea75310c2,แล้วยิ่งไปจับเสี่ยวมี่ที่หน้าจอ 120Hz ของพี่ชายคือแบบมองแรงใส่มือถือตัวเองบ่อยมาก 555555555555 แต่ก็ถือโอเคสำหรับคนเปลี่ยนมือถือไม่บ่อยหรือคนที่กระโดดจากแบรนด์นึงมาอีกแบรนด์ ,pos,,,
46,64b6c01aa4428eeea7531124,ตอนนี้อเมริกาพัฒนาสู้จีนไม่ได้แล้วอีกหน่อยเขาใช้ดาวเทียมจากประเทศมหาอำนาจใหม่ที่ใช้ในการโทรได้ด้วยย้อนกลับมากับราคาต่างกันมากถ้าคิดแบบตรรกะหรูหรามีหน้ามีตาก็มีแต่เจ๊งกับเจ๊งถ้าคิดแบบรถเพื่อการพานิชย์ถือว่าสู้จีนไม่ได้ราคาแพงแบตสายชาร์จและที่ว่าดีๆมันก็คือข้อดีแต่ละข้อของแต่ละค่ายไม่ชอบอเมริกา เดี๋ยวก็เจ๊งแบบแบคเบอรรี่,neg,,,
47,64b6c01aa4428eeea7531147,ขอมือถือเน้นเกมหน่อยครับไม่สนใจกล้อง ,neu,,,
48,64b6c01aa4428eeea753118c,กล้องหน้าเหมือนเดิม ,neu,กล้อง:neu,,
49,64b6c01aa4428eeea75311c2,ซัมซุงa33 a53 a73 120Hzแล้วคับ,neu,จอ:neu,,
50,64b6c01aa4428eeea7531232,มีจอ120fps จอสว่างกว่า ,pos,จอ:neu,,
51,64b6c01aa4428eeea7531232,กล้องมีเลนส์ซูม3x มีกล้องมาโค ,neu,กล้อง:neu,,
52,64b6c01aa4428eeea75310c5,60hz iphone ผมว่าดีกว่า 60hz เเอนดรอยเเน่ๆ ,pos,จอ:pos,,
53,64b6c01aa4428eeea75310c5,ถ้าไม่ใช่ตัว สูงๆหน่อย 60hz ,neu,จอ:neu,,
54,64b6c01aa4428eeea753113e,จอ90hz เป็นขั้นต่ำไปเลย ,neu,จอ:neu,,
55,64b6c01aa4428eeea7531144,หื้ม 14 ให้ 60 Hz  เองอะ ป้าด มี่10 หมื่นกว่าบาท ,neg,จอ:neg,,
56,64b6c01aa4428eeea7531144,เค้าให้ 144 Hz  นะเหว่ยยย,neu,จอ:neu,,
57,64b6c01aa4428eeea7531155,ตอนนี้ใช้12proก็ถึงรอบเปลี่ยนแหละ แต่จะไปเอา14proราคาก็ไม่อ่อนโยน และ12proที่ใช้ น้องยังไม่ได้มีอาการอะไรให้รู้สึกรำคาญใจจนต้องเปลี่ยน เว้นแต่แบตไม่ค่อยทน ,neg,แบต:neg,,
58,64b6c01aa4428eeea7531155,กล้องเราก็ไม่เน้น ,neu,กล้อง:neu,,
59,64b6c01aa4428eeea753118f,ดีใจมากที่มี 14 Plus ได้หน้าจอใหญ่ ไม่ต้อง Pro รอขาย 7 ตค.ค่ะ,pos,จอ:pos,,
60,64b6c01aa4428eeea75311ca,พาดพิงกล้องพานาโซนิคซะงั้น ,neg,,,
61,64b6c01aa4428eeea75311ca,จะบอกว่ากล้องเขาไม่ดีหรือครับ ,neu,กล้อง:neu,,
62,64b6c01aa4428eeea753108e,ก็เงินเขาอะเขาก็ผิดหวังปะชิปตัวเดิมจาก13จอ60Hzราคาหลักหมื่น,neg,,,
63,64b6c01aa4428eeea75311aa,แค่อยากได้จอใหญ่,neu,จอ:neu,,
64,64b6c01aa4428eeea7531073,เเต่ip14 ที่ได้มาชอบมากครับติดนิดเดียวอย่างน้อยราคานี้น่าจะให้90Hz ดูกันยาวๆทีนี้,pos,จอ:neg,,
65,64b6c01aa4428eeea75310a4,ใครที่ใช้ หรือ แนะนำไป i 13 ก็ระวังจอเขียว จอเหลือง จอขาวกันด้วยนะจ๊ะ บอกด้วยความหวังดี😊,neu,จอ:neu,,
66,64b6c01aa4428eeea75310e1,@qqq ล่าสุดเห็นในเพจพี่ตั้มบอกว่าซีรี่ 13 จอเขียวครับ🤣,neg,จอ:neg,,
67,64b6c01aa4428eeea7531116,เราใช้12อยู่อยากเปลี่ยนแต่ลังเลระหว่าง13กับ14เพราะมันไม่ต่างกันมากแต่ด้วยความที่ราคาต่างกัน3000ใช้เวลาตัดสินใจอยู่เกือบเดือนสรุปเอา14เพราะได้โค๊ดส่วนลด2000เท่ากับซื้อ14ในราคาที่ต่างจากกับ13 1000พันคุ้มอยู่แหละสาเหตุที่อยากเปลียนคือแบต12มันน้อยบวกกับ5gที่ไม่เสถียรเปิด5gแล้วแบตไหลมากๆ,pos,แบต:neg,,
68,64b6c01aa4428eeea753112b,จากคนใช้ ipad pro m1 กับ12promax 60กับ120hz แม่งโคตรต่างอ่ะ ,neu,,,
69,64b6c01aa4428eeea753112b,ตอนแรกตั้งใจจะกด14plus แต่เจอให้จองี้มาใช้เครื่องเดิมก็ได้😂😂,neu,จอ:neu,,
70,64b6c01aa4428eeea753114f,เขาใช้ XIAOMI กันแล้วครับสมัยนี้ กล้องสุดโบราณ 48 ล้าน ,neg,กล้อง:neg,,
71,64b6c01aa4428eeea7531150,ผมใช้ I14 อยู่กับ ใช้อีกเครื่องระบบแอนดรอยด์ ต้องยอมรับเรื่องกล้องครับถ่ายภาพได้ประทับใจจริงๆ ,pos,กล้อง:pos,,
72,64b6c01aa4428eeea7531150,ยิ่งวีดีโอนี่กินขาดแอนดรอยด์ครับ ,pos,กล้อง:pos,,
73,64b6c01aa4428eeea7531150,แต่ข้อเสียถ่ายภาพต่อเนื่องเป็น 100 ภาพ ,neg,กล้อง:neg,,
74,64b6c01aa4428eeea753122c,i15 ถ้าไม่ให้จอ 120hz หรือ 90 ในรุ่นเริ่มต้น ,neu,จอ:neu,,
75,64b6c01aa4428eeea7531109,14รู้สึกแบตหมดแล้วคะ,neu,แบต:neu,,
76,64b6c01aa4428eeea7531169,60 hz ปัจจุบันใช้ 120 พอเล่นหน้าจอรีเฟรชน้อย เลื่อนๆแล้วมันเวียนหัว รอรุ่นที่ราคาดี ,neu,จอ:neu,,
77,64b6c01aa4428eeea7531169,จอเริสๆ ,pos,จอ:neu,,
78,64b6c01aa4428eeea7531176,รู้แค่ว่า ไลน์นิ่ง และ รอยบากบนหน้าจอก็ยกเลิกการจองทันที,neg,จอ:neg,,
79,64b6c01aa4428eeea753117c,Cpu ก็เก่าหน้าจอแค่ 60hz ราคาแพงขึ้นแต่ก็ยังกั๊กสเปค น่าเกลียดจริงๆครับราคานี้ไป android ,neg,จอ:neg,,
80,64b6c01aa4428eeea75311d3,จอติ่งแบบใหม่ ,neu,จอ:neu,,
81,64b6c01aa4428eeea75311d3,กล้องดีขึ้นมีกันสั่นในตัว ,pos,กล้อง:pos,,
82,64b6c01aa4428eeea75311d3,ในราคาเท่ากันตอนนี้ซื้อ13proดีกว่าเยอะ ทั้งกล้อง บอดี้ จอ ในราคาที่เท่าๆกัน ,pos,"กล้อง:pos,จอ:pos",,
83,64b6c01aa4428eeea7531233,ไม่ชอบจอ dynamic island ชอบติ่งแบบเดิมมากกว่า,neg,จอ:neg,,
84,64b6c01aa4428eeea7531248,หูฟัง สาย ของเเถม 120hz ,neu,จอ:neu,,
85,64b6c01aa4428eeea7531264,สมัยนี้หน้าจอควรจะขั้นต่ำ90FPSนะ ต่อให้เป็นตัวต่ำก็เถอะ,neu,จอ:neu,,
86,64b6c01aa4428eeea753131a,ชอบนะครับ จากที่ใช้ จอใหญ่ดี แต่เบาดี ,pos,จอ:pos,,
87,64b6c01aa4428eeea753131a,ชอบ แบตใช้ได้เลย  ,pos,แบต:pos,,
88,64b6c01aa4428eeea753131a,แค่น่าจะได้จอสัก 90hz เสียดาย ตรงนี้,neg,จอ:neg,,
89,64b6c01aa4428eeea753138b,60hz -_-',neu,จอ:neu,,
90,64b6c01aa4428eeea75313d3,จะมากสุดถ้าให้จอ 120hz มาด้วย เลยมอง 13promax มือสองแทน ,neu,จอ:neu,,
91,64b6c01aa4428eeea75313d3,ตอนนี้ในตลาดราคา 3 หมื่นกลางๆ ได้ความจุ 256 ได้จอ 120hz ,neu,จอ:neu,,
92,64b6c01aa4428eeea75313d3,กล้องก็ดีกว่าด้วยอีก,pos,กล้อง:pos,,
93,64b6c01aa4428eeea753126f,ใช่ครับให้90hzมาก็ได้ผมชอบiphoneถึงไม่เคยซื้อมาใช้แต่เคยใช้ของป้าและเพื่อนชอบเลยเล่นเกมลื่นกล้องวิดีโอดีระบบiosมันจริงดีถ้ามีเงินคงไปใช้iosแต่มันกั๊กแบบนี้ไม่น่าใช้,pos,กล้อง:pos,,
94,64b6c01aa4428eeea7531270,หน้าจอ Refresh Rate ควรจะ 90 หรือไม่ก็ 120 hz แล้วครับ ,neg,จอ:neg,,
95,64b6c01aa4428eeea75312dd,แบตเตอรี่ ไป 12 ดีกว่า mini ,pos,แบต:pos,,
96,64b6c01aa4428eeea7531306,ไม่กระตุกครับแต่มันกึ๊กๆ ไม่ smooth ผมลองปรับละว่าจะประหยัดแบต ,pos,แบต:pos,,
97,64b6c01aa4428eeea75312ae,ถ่ายวิดีโอเทพแค่ไหน ,neu,กล้อง:neu,,
98,64b6c01aa4428eeea75312ae,กลางคืนถ่ายติดแสงแฟลร์ ,neu,กล้อง:neu,,
99,64b6c01aa4428eeea75312ae,นี่จบเลยเหมือนผลิตมาเพื่อถ่ายแค่กลางวัน,neg,กล้อง:neg,,
100,64b6c01aa4428eeea7531352,ส่วนตัว ชอบiphone 14 พลัสจ่ะ เพราะชอบที่ขนาดหน้าจอใหญ่ ,pos,จอ:pos,,
101,64b6c01aa4428eeea7531352,แบตอึด  ,pos,แบต:pos,,
102,64b6c01aa4428eeea75313d0,มันเบาแต่ราคาไม่เบาเลยครับ จอ 60 ควรพัฒนาได้แล้ว,neg,จอ:neg,,
103,64b6c01aa4428eeea7531301,ไม่ได้เปลี่ยนอะไรเลยครับเหมือนiphone13iphone 14ปีนี้ไม่ว้าวทุกตัวเลยราคาก็แพงถ้ามีtype c จอ120 hzทุกรุ่นคงดีไม่ใช่มีจอ120hzแค่pro  pro max รอiphone 15จะมีไหม,neg,,*,
104,64b6c01aa4428eeea7531360,ดีมากเลยคับเครื่องนํ้าหนักเบามากกล้องยังถือว่าสวยมากจอ60กับ120ไม่ได้ต่างกันขนาดนั้นละกันสั้นได้ดีจิงๆนิ่งมากกมีแอคชั่นโหมดอีก เล่นเกมลื่นปรับสุดได้ ,pos,"กล้อง:pos,จอ:neu",,
105,64b6c01aa4428eeea7531360,ที่ชอบมากคือแบตเตอรี่ อึดสุด! ,pos,แบต:pos,,
106,64b6c01aa4428eeea7531360,ก่อนจะซื้อใช้7plusมา4-5ปีแล้วคับตกรุ่นแล้วเรียบร้อยกระตุกเยอะเครื่องร้อนมากๆยิ่งถ้าตอนคอลวีดีโอค้างแอปเด้งตลอดออกไปข้างนอกต้องพกพาวเวอแบงตลอดแปปๆหมดชาตวันนึงไม่ตํ่ากว่า5รอบ,neg,กล้อง:neg,,
107,64b6c01aa4428eeea7531283,ใช้ 14 เหมือนกันครับเซ็งตรง จอ 60HZ กับ CPU นี่แหละแต่ย้ายมาจาก 6S ก็ถือว่าคุ้มค่าคุ้มราคาครับเน้นใช้งานกันยาวๆ 5555,neg,จอ:neg,,
108,64b6c01aa4428eeea75312d9,แต่ถ้าชอบจอใหญ่ๆ ชอบดูแบบชัดๆ ไป 12 ค่ะ แต่สำหรับเรารับได้ค่ะ เพราะเราเคยใช้ 8 Plus มา เครื่องใหญ่ หนักมาก ,pos,,,
109,64b6c01aa4428eeea753130a,ราคานี้ควรได้จอ 120 พอใช้จอ 120 แล้วมาใช้60 รู้สึกมันกระตุก,neg,จอ:neg,,
110,64b6c01aa4428eeea753136d,เห็นคนที่ซื้อ 14พลัส มาก็แฮปปี้กันทุกคน เหมือนตั้งใจว่าจะเอาจอใหญ่ ,pos,,,
111,64b6c01aa4428eeea753136d,แบตอึด ,pos,แบต:pos,,
112,64b6c01aa4428eeea75313a3,แนะนำหน่อยค่ะอย่าเปลี่ยนใจมาใช้ iPhone เพราะกล้องสวย,pos,กล้อง:pos,,
113,64b6c01aa4428eeea75313c8,เหมือนแอปเปิ้ลจะผลักลูกค้าให้ไปหาตัวโปรอย่างเดียวครับเพราะสเปกไม่ได้ต่างกับ 13 แต่ราคาถูกกว่า 14 โปรแค่นิดเดียวลองให้ chipset ตัวใหม่ จอ 120 Hz. Always On มาสิครับถึงไม่มีเกาะหรรษา ,neu,,,
114,64b6c01aa4428eeea75313e9,ต่างแค่หน้าจอใหญ่กว่า,neu,จอ:neu,,
115,64b6c01aa4428eeea7531347,ให้พ่อใช้ชอบครับจอใหญ่ดี ,pos,จอ:pos,,
116,64b6c01aa4428eeea75313c7,รุ่นต่อไป iphone 15 เชื่อได้เลยว่าจะยังเป็นจอบากแบบเดิมแต่ได้จอ 120hz ยกมาจากรุ่น 13 pro ส่วนชิปอัพขึ้นมาเป็น a16 bionic,neu,จอ:neu,,
117,64b6c01aa4428eeea75313f7,จอใหญ่ ,neu,จอ:neu,,
118,64b6c01aa4428eeea753126d,ดีเรื่องกล้องหน้า ,pos,กล้อง:pos,,
119,64b6c01aa4428eeea753126d,ชิปเก่า+จอแค่60Hz,neu,จอ:neu,,
120,64b6c01aa4428eeea7531290,ในมุมมองของผม iPhone 14 เรื่องหน้าจอ ,neu,จอ:neu,,
121,64b6c01aa4428eeea7531337,และไม่ใช้กล้องเลนส์ที่ 3 เลนส์วายก็ไม่จำเป็นขนาดนั้น ,neu,กล้อง:neu,,
122,64b6c01aa4428eeea753137d,ที่เหลือเฉยๆ ทุกวันนี้ ใช้แค่รุ่น pro ยังปวดมือPro max จะขนาดไหนแต่ถ้าเอาจิง คง 13 promax ดีกว่า60 กับ 120 Hz ,pos,,,
123,64b6c01aa4428eeea7531395,เพิ่มเงินอีกสามพัน ไป14โปรคุ้มกว่า ถึงจอจะเล็กกว่า หรือไม่ก็กลับไป13โปรแม็ก บ้างศูนยเครื่องมือหนึ่งยังค้างสตอกอยู่,neu,,,
124,64b6c01aa4428eeea75313c4,14 จอ 60hz = 13 pro จอ 120hz 14 plus จอ 60hz  = 13 promax จอ 120hzแนะนำถ้าซื้อนะ    หรือไม่ก็ 14 pro ขึ้นไปเลย ,neu,,,
125,64b6c01aa4428eeea7531311,พึ่งซื้อ14 plus ปกติใช่จอเล็ก แต่อยากอัพจอใหญ่ๆมั้ง ,neu,,,
126,64b6c01aa4428eeea753131d,กล้องนูนมากเกี่ยวนั่นนี่ 14 ธรรมดาคือ เบา ถือสะดวกกว่าเยอะเวลาแชตมือเดียว ,pos,,,
127,64b6c01aa4428eeea753131d,ถ้าไม่ใช่คนที่ทำงานถ่ายภาพจริงจัง ถ่ายวิดีโอจริงจัง 14 ปกติ ,neu,กล้อง:neu,,
128,64b6c01aa4428eeea7531374,@Film Is The Bestผมว่าโอเคนะครับ ประทับใจตางถ่ายรูปครับ ถ่ายย้อนแสงกล้องปรับให้อัตโนมัติ ,pos,กล้อง:pos,,
129,64b6c01aa4428eeea75313a9,"ถ้าให้เลือก 14 หรือ 14 plus กับ 13 pro , 13 pro max ขอเลือก 13 pro ดีกว่า ได้ชิพเหมือนกันก็จริง แต่ 13 pro ได้หน้า120 รีเฟรชเรซ ได้กล้อง3 ตัว ",pos,หน้าจอ:pos,,
130,64b6c01aa4428eeea7531246,ผมใช้ oneplus7pro จอ90hzอย่างลื่น  ,neu,จอ:neu,,
131,64b6c01aa4428eeea7531246,พอลองจับตัวจิง จอ60hz ,neu,จอ:neu,,
132,64b6c01aa4428eeea753125e,60Hz ,neu,จอ:neu,,
133,64b6c01aa4428eeea7531282,cpuเก่าพอได้ครับเพราะยังแรงอยู่แต่จอ60hzเกินไปอย่างน้อยให้มา90hzก็ได้ขายแพงแล้วตัวท็อปได้สเปกดีแต่ตัวล่างกลางสเปกต่ำ,neg,จอ:neg,,
134,64b6c01aa4428eeea75312c7,เมื่อคืนเจอกันผมเอาsonyมาถ่าย แกแซวย้ายจากไอโฟนมาใช้ซัมซุงตาม หนีไปsonyอีกแล้วเหรอ ,neu,,,
135,64b6c01aa4428eeea75312cb,13 pm เสียดาย ถ่ายวีดีโอ กันสั่น ,neg,กล้อง:neg,,
136,64b6c01aa4428eeea7531343,กล้องดี ,pos,กล้อง:pos,,
137,64b6c01aa4428eeea7531343,ชิปเเรง จอสวยเลย ,pos,จอ:pos,,
138,64b6c01aa4428eeea7531346,เป็น14 plus แต่บางคนก็บอกว่า ซื้อ13 pro max คุ้มกว่า เลยมีความลังเล 13 มีข่าวหน้าจอเขียวเลยแอบกลัวเจอแจ็คพอต ,neg,จอ:neg,,
139,64b6c01aa4428eeea753135a,ของเรา 14 ถ่ายวิดีโอซูมแล้วภาพแตกแก้ยังไงหรอคะ ของเพื่อนเรารุ่นเก่ากว่าแต่กล้องสวยกว่ามากเลยค่ะ,neu,,,
140,64b6c01aa4428eeea7531361,ชิพios 16 หรือไม่ก็จอ 120 hz ,neu,จอ:neu,,
141,64b6c01aa4428eeea753139c,หน้าจอใหญ่กว่า 14 ยังไงก็คุ้มกว่า ,pos,จอ:pos,,
142,64b6c01aa4428eeea7531244,ส่วน 14 ลืมไปได้เลยเพราะมันไม่คุ้มไม่ว่าจะมุมไหน (ต่อให้ได้กล้องที่ดีกว่าเดิม ,neg,,,
143,64b6c01aa4428eeea7531249,แค่90 Hz ,neu,จอ:neu,,
144,64b6c01aa4428eeea75312db,@Koppa SSS 12 ดีกว่าครับmini แบตไหลมากก,pos,แบต:neg,,
145,64b6c01aa4428eeea7531253,ของจริงที่ศูนย์แล้วแตกต่างกันมาก14มันลื่นจอสวยคมชัดสีสวยขอบจอบางมาก,pos,จอ:pos,,
146,64b6c01aa4428eeea7531275,i7 ทั้งๆที่ s9 ออกหลังตั้ง2ปี แต่คุณจะเชื่อมั้ยว่า i7 ยังลื่นปีดกว่า เสถียรกว่า แบตเสื่อมช้ากว่า  ตัดสินใจเอาละกันครับ  ,pos,แบต:pos,,
147,64b6c01aa4428eeea75312eb,13pmมือสองสภาพดีๆแบตเหลือๆ ก็ไม่เกิน40kนะครับ,pos,แบต:pos,,
148,64b6c01aa4428eeea7531317,รู้สึกเบามือแต่จอใหญ่,neu,จอ:neu,,
149,64b6c01aa4428eeea7531350,ถูกกว่า iPhone 14 Pro Max 7-8 พัน3 จอสามารถดู HDR ได้4 อ๊อฟชั่นบางอย่างในตัว iPhone 14 Pro Max ก็ไม่ได้ใช้5 ,neu,จอ:neu,,
150,64b6c01aa4428eeea7531350,กล้องดีขึ้นชิพก็ดีกว่าใหม่กว่าในตัว 116 อัพเดท iOS ได้อีกยาวยาวได้ใช้ 5G ด้วย,pos,กล้อง:pos,,
151,64b6c01aa4428eeea7531296,"นี่ยังใช้ 11 ต่อไป เปลี่ยนแบตเอา , แพงขึ้น ",neu,แบต:neu,,
152,64b6c01aa4428eeea7531296,"กล้องดีขึ้นนิดนึง type c ก็มีเปลี่ยน , หัวชาร์จก็ไม่ให้ , cpu เดิม",pos,กล้อง:pos,,
153,64b6c01aa4428eeea75312b3,กั๊กฟีเจอร์กล้องเป็นเรื่องปกติของไอโฟนครับ รุ่นเก่าเคยมียังไงก็มีแค่นั้นไม่ได้อัพเดทเพิ่ม ต่างจากซัมซุงจะให้ฟีเจอร์รุ่นเก่าได้ใช้ด้วยบางอย่าง,neg,กล้อง:pos,,
154,64b6c01aa4428eeea7531313,ตัดสินใจซื้อเพราะจอใหญ่ ,neu,จอ:neu,,
155,64b6c01aa4428eeea7531328,เปลี่ยนจาก xs max มา 14 plusค่ะ แบตอึด รวมๆเราว่าก็โอเคร จะเปลี่ยนทั้งที่อยากได้genใหม่ค่ะถึงข้างในจะ13 แต่ 14ก็คือ14 ค่ะ😊,pos,แบต:pos,,
156,64b6c01aa4428eeea753133b,นำเงินส่วนต่างจาก13กับ14ไปซื้ออุปกรณ์เสริมน่าจะดีกว่าสำหรับผมแบตxrว่าอึดแล้ว 13อึดกว่าคุ้มครับ4ปีเปลี่ยน,pos,แบต:pos,,
