,_id,textDisplay,likeCount,keyword_search,Brand,Overview sentiment,Features,is_sentiment_comment
50,64b6c01aa4428eeea7531150,ยิ่งวีดีโอนี่กินขาดแอนดรอยด์ครับ ,1,iPhone 14,Apple,neg,,TRUE
51,64b6c01aa4428eeea7531150,แต่ข้อเสียถ่ายภาพต่อเนื่องเป็น 100 ภาพ ,1,iPhone 14,Apple,neg,กล้อง:neg,TRUE
52,64b6c01aa4428eeea7531150,เครื่องร้อนซะงั้น,1,iPhone 14,Apple,neg,,TRUE
54,64b6c01aa4428eeea7531155,ตอนแรกคิดว่าหรือจะเอา14ธรรมดา แต่เมือ่เทียบความคุ้มค่า รอไป15เลยดีกว่า ,0,iPhone 14,Apple,pos,,TRUE
55,64b6c01aa4428eeea7531155,เพราะก่อนหน้านี้ไม่เคยบ่นเรื่องtype Cเลย แต่มา1-2ปีหลัง เริ่มมีอุปกรณ์ที่ใช้TypeCมากขึ้น ,0,iPhone 14,Apple,neu,,TRUE
56,64b6c01aa4428eeea7531155,มันทำให้เกิดความน่ารำคาญขึ้นประมาณนึง ,0,iPhone 14,Apple,neg,,TRUE
57,64b6c01aa4428eeea7531155,มันเลยยังใช้ได้ลื่นไหลมาก ,0,iPhone 14,Apple,pos,,TRUE
59,64b6c01aa4428eeea7531161,คงจะดี😂,0,iPhone 14,Apple,neg,,TRUE
60,64b6c01aa4428eeea7531166,ให้จอซัก90Hzก็ยังดีนะ แต่ก็นั่นแหละ,0,iPhone 14,Apple,neu,,TRUE
61,64b6c01aa4428eeea7531168,60 hz ปัจจุบันใช้ 120 พอเล่นหน้าจอรีเฟรชน้อย เลื่อนๆแล้วมันเวียนหัว รอรุ่นที่ราคาดี ,0,iPhone 14,Apple,neg,จอ:neg,TRUE
62,64b6c01aa4428eeea7531176,รู้แค่ว่า ไลน์นิ่ง และ รอยบากบนหน้าจอก็ยกเลิกการจองทันที,0,iPhone 14,Apple,neg,,TRUE
63,64b6c01aa4428eeea7531177,แต่พอมาปีนี่เรียกได้ว่าผิดหวังมากๆสงสารคนที่รอซื้อรุ่นธรรมดาเพราะมันคือ ไอโฟน13ที่ใช้ชื่อ14 แค่นั้นเลย ,1,iPhone 14,Apple,neg,,TRUE
65,64b6c01aa4428eeea753117c,Cpu ก็เก่าหน้าจอแค่ 60hz ราคาแพงขึ้นแต่ก็ยังกั๊กสเปค น่าเกลียดจริงๆครับราคานี้ไป android ,0,iPhone 14,Apple,neg,,TRUE
66,64b6c01aa4428eeea753117c,ราคานี้คุ้มกว่า ถ้าจะเล่น14ยอมกัดฟันไปรุ่นproดีกว่าครับ,0,iPhone 14,Apple,neg,,TRUE
67,64b6c01aa4428eeea7531189,รอรุ่นที่ใส่พอร์ต type c ทีเดียว มีพี่ดรอยด์อยู่อีกเครื่องก็เลยชิลๆ อย่างที่คุณตั้มพูด ,5,iPhone 14,Apple,neu,,TRUE
68,64b6c01aa4428eeea7531189,แต่เดี๋ยวนี้ 5พัน อย่างต่ำก็ได้ 90Hz แล้ว ต่างกับพี่เปิลข้ออ้างเยอะเหลือเกิน กั๊กสุดๆไปเลย ,5,iPhone 14,Apple,neg,,TRUE
70,64b6c01aa4428eeea753118c,ถ้าจะซื้อก็ซื้อที่แตกต่างดีกว่า ,0,iPhone 14,Apple,neg,,TRUE
72,64b6c01aa4428eeea753118d,ไม่มีคุณภาพ_ก็ย่อมทำสินค้า_ไม่มีคุณภาพ/__แบตก็เคยระเบิด_อันตราย_น่ากลัว,0,iPhone 14,Apple,neg,แบต:neg,TRUE
73,64b6c01aa4428eeea753118f,ใช้ iPhone 7+ ค่ะ เครื่องมีปัญหามาครึ่งปีแล้ว ,1,iPhone 14,Apple,neg,,TRUE
75,64b6c01aa4428eeea753118f,ดีใจมากที่มี 14 Plus ได้หน้าจอใหญ่ ไม่ต้อง Pro รอขาย 7 ตค.ค่ะ,1,iPhone 14,Apple,pos,จอ:pos,TRUE
78,64b6c01aa4428eeea75311ab,น่าเกลียดตั้งแต่ 13 แล้วที่ไม่ให้ 120hz ปีนี้แอนดรอยราคาหมื่นกว่าๆก้ได้กันละ,3,iPhone 14,Apple,neg,จอ:neg,TRUE
79,64b6c01aa4428eeea75311af,เขาทดลองตลาดและอย่าให้เงียบ ,0,iPhone 14,Apple,neu,,TRUE
81,64b6c01aa4428eeea75311af,ถ้าทำตามความอยากต้องลดคุณภาพของซอฟแวร์ ลดทุนแล้วใส่มาได้ทุกอย่างเพื่อสนองความอยาก แต่ไอโฟนเขาเน้นคุณภาพซอฟแวย์ต้องเสถียรและที่สำคัญต้องประหยัดพลังวานแบตมากๆ ,0,iPhone 14,Apple,pos,แบต:pos,TRUE
82,64b6c01aa4428eeea75311af,ผลิตภัณฑ์ ต้องทดสอบและเอาที่ดีที่สุดที่เสถียรที่สุด ,0,iPhone 14,Apple,neu,,TRUE
83,64b6c01aa4428eeea75311af,เปลืองแบตน้อยที่สุด ,0,iPhone 14,Apple,pos,แบต:pos,TRUE
84,64b6c01aa4428eeea75311af,เพิ่มมาเท่าที่จำป็นในการดำรงชีวิตหลักๆ ซอฟแวย์ที่ใช้ในรุ่นเก่าแล้วเสถียรก็ใช้ต่อเพราะ อัฟเดทไปก็ไม่จำเป็นอย่าลืมนะว่าการอัฟเดทซอฟแวย์พวกไอทีทั้งโลกที่ให้เร็วและแรงมันเกี่ยวโยงกับเสียพลังงานแบต ,0,iPhone 14,Apple,neu,,TRUE
86,64b6c01aa4428eeea75311af,มันเป็นไปไม่ได้ แอปเปิ้ลเขาเก็บข้อมูลการรีวิวการใช้เอาไปปรับเพิ่มส่วนจำเป็นที่ขาด ,0,iPhone 14,Apple,neu,,TRUE
87,64b6c01aa4428eeea75311af,ลดสิ่งที่ไม่จำเป็นออกเอาที่เสถียรแบบเดิมไว้ ,0,iPhone 14,Apple,neu,,TRUE
89,64b6c01aa4428eeea75311af,บริษัทแอปเปิ้ลเขานั่งขำกัน ,0,iPhone 14,Apple,neu,,TRUE
90,64b6c01aa4428eeea75311b6,เห็นด้วยหมดเลย ... แต่ส่วนตัว (แทบ) ไม่ได้ใช้กล้อง/ ไม่เล่นเกม (เลย) ... 7+/ 8+/ Xr ก็ยังเพียงพออยู่นะ,0,iPhone 14,Apple,pos,,TRUE
91,64b6c01aa4428eeea75311ca,พาดพิงกล้องพานาโซนิคซะงั้น ,0,iPhone 14,Apple,neu,,TRUE
94,64b6c01aa4428eeea75311d3,มันธรรมดาเกินไป ,3,iPhone 14,Apple,neg,,TRUE
95,64b6c01aa4428eeea75311d3,มันดูมีเหตุผลให้เปลี่ยนนะ แบบชิพใหม่ขึ้น ,3,iPhone 14,Apple,pos,,TRUE
96,64b6c01aa4428eeea75311d3,จอติ่งแบบใหม่ ,3,iPhone 14,Apple,neu,,TRUE
97,64b6c01aa4428eeea75311d3,กล้องดีขึ้นมีกันสั่นในตัว ,3,iPhone 14,Apple,pos,กล้อง:pos,TRUE
98,64b6c01aa4428eeea75311d3,ถึงแม้ตะเป็นรุ่นธรรมดา แต่ก็มีสิ่งที่ดีกว่าอยู่พอสมควร บางอย่างอาจจะด้อยกว่า แต่รับได้ แต่พอมาปีนี้เราว่าถ้าใช้A16มันก็ยังพอมีเหตุผลให้ซื้อแล้วอ่ะ ,3,iPhone 14,Apple,pos,,TRUE
99,64b6c01aa4428eeea75311d3,ในราคาเท่ากันตอนนี้ซื้อ13proดีกว่าเยอะ ทั้งกล้อง บอดี้ จอ ในราคาที่เท่าๆกัน ,3,iPhone 14,Apple,neg,"กล้อง:neg,จอ:neg",TRUE
100,64b6c01aa4428eeea75311d3,สรุปปีนี้เราได้13proมาค่ะ 14ไม่ได้มีข้อรั้งให้เราลังเลเลย ,3,iPhone 14,Apple,neg,,TRUE
103,64b6c01aa4428eeea75311e3,ตอนนี้ยังใช้ได้อยู่555 เปลี่ยนแบต2รอบ ,0,iPhone 14,Apple,neu,,TRUE
105,64b6c01aa4428eeea7531200,เสียดายไอโฟน14พลัสรีเฟรชเรทหน้าจอควรจะได้120Hz,0,iPhone 14,Apple,neg,จอ:neg,TRUE
106,64b6c01aa4428eeea7531208,เครื่องเก่ามันรอไม่ไหวก็เลยต้องจัดก่อน ,17,iPhone 14,Apple,pos,,TRUE
109,64b6c01aa4428eeea7531208,i14 นี้ไปก่อนแล้วไปรอ i15 เลยก็ไม่เสียหายนะคะ ,17,iPhone 14,Apple,pos,,TRUE
110,64b6c01aa4428eeea7531208,สองคือให้เวลาทีม dev ของแอปเปิล พัฒนาเกาะเด้งดึ๋งนี้ให้ดีขึ้นอีกสักรุ่น(หรือสองรุ่น) มาอีกทีเจ้าเกาะนี้อาจจะมีประโยชน์ว้าวซ่าน่าใช้กว่าเดิมก็เป็นได้,17,iPhone 14,Apple,pos,,TRUE
111,64b6c01aa4428eeea753120d,ใช่ครับ ที่เจ็บใจกว่าก็คือ XR ที่ถูกกว่า แต่ดันได้ชิปที่แรงกว่าเครื่องเมนหลักแถมจอใหญ่และแบตอึดกว่าอีก ,1,iPhone 14,Apple,neg,"จอ:neg,แบต:neg",TRUE
112,64b6c01aa4428eeea753120f,แต่ถ้าพี่ไม่ซีเรียสเรื่องรูปลักษณ์ที่คล้ายกัน ,0,iPhone 14,Apple,neu,,TRUE
115,64b6c01aa4428eeea7531210,ตอนนี้หน้าจอ S20 plus ผมมีเส้นสีเขียว สีชมพู ขึ้นจอเลยจะเปลี่ยนเป็น iphone ระหว่างจะซื้อ iphone 13 256gb หรือจะซื้อ iphone 14 128 gb ดีครับ ,1,iPhone 14,Apple,neu,,TRUE
117,64b6c01aa4428eeea7531229,หมื่นต้นๆไปถึงกลางๆใช้ จนล่าสุดมือถือก็พังไปแล้วเนื่องจากใช้มา 2 ปีกว่าๆ ก็เลยมองหามือถือรุ่นใหม่ดู เห็น Iphone 14 ออกมาพอดีก็เลยลองซื้อมาใช้ดู ,0,iPhone 14,Apple,neu,,TRUE
119,64b6c01aa4428eeea7531229,เครื่องเก่าผมราคา 13000 จอ 90 Hz ละ อันนี้ 3 หมื่นกว่า ได้ 60Hz ก็รู้สึกว่ามันน้อยไปจริงๆ แต่ในส่วนอื่นก็ไม่ติดนะ ก็ถือว่ามันก็ใช้งานได้ดีแหละในหลายๆด้าน ,0,iPhone 14,Apple,pos,,TRUE
121,64b6c01aa4428eeea7531229,ถ้ามันดีขึ้นมากกว่าเดิมเช่นมี Type C dynamic island ดีขึ้น ,0,iPhone 14,Apple,neu,,TRUE
122,64b6c01aa4428eeea7531229,ไม่เกะกะไม่รกลูกตา ,0,iPhone 14,Apple,pos,,TRUE
123,64b6c01aa4428eeea753122c,นี่คือแย่มาก,2,iPhone 14,Apple,neg,,TRUE
124,64b6c01aa4428eeea7531232,14P ก็ไม่ได้ dynamic island มีติ่งทั้งคู่จ้า ,0,iPhone 14,Apple,neu,,TRUE
126,64b6c01aa4428eeea7531233,ไม่ชอบจอ dynamic island ชอบติ่งแบบเดิมมากกว่า,3,iPhone 14,Apple,neg,จอ:neg,TRUE
127,64b6c01aa4428eeea7531234,เครื่องไม่มีรอยเลยใหม่มาก  หุ้ม powershield ทั้งตัว มีกันรอยกล้อง ,0,iPhone 14,Apple,pos,,TRUE
128,64b6c01aa4428eeea7531239,ใช้ 11 อยู่ จอง 14 plus ไปแล้วรับวันที่ 9/10.ชอบที่จอใหญ่ขึ้น function ที่ให้มาเพียงพอกับการใช้งานแล้ว แต่ได้น้ำหนักเบาพอๆกับตัว 14 pro เบากว่า promax เกือบ 40 กรัม. ,41,iPhone 14,Apple,pos,จอ:pos,TRUE
129,64b6c01aa4428eeea7531239,แบตอึด ,41,iPhone 14,Apple,pos,แบต:pos,TRUE
130,64b6c01aa4428eeea7531239,น่าจะชอบ 14 plus ได้ไม่ยาก..^^,41,iPhone 14,Apple,pos,,TRUE
131,64b6c01aa4428eeea753123e,"ios16เลยจำใจต้องเปลี่ยนเลยไป จัดเครื่องมือ2มา ไอโฟน13 256 20,900 ประกันเหลือ3เดือน เพราะชิปเดียวกันกับ14แต่แค่GPUน้อยกว่า1แกนอาจจะไม่ได้แตกต่างอย่างมีนัยสำคัญมากโอเคอาจจะไม่ได้ ",6,iPhone 14,Apple,neu,,TRUE
132,64b6c01aa4428eeea753123e,ชอบใช้iosถ้า 6S อัพได้นะ คงลากใช้ต่อครับ,6,iPhone 14,Apple,neu,,TRUE
134,64b6c01aa4428eeea7531240,ยังไม่ได้ ,2,iPhone 14,Apple,neg,,TRUE
135,64b6c01aa4428eeea7531240,คุ้มสุดในเรท ,2,iPhone 14,Apple,pos,,TRUE
136,64b6c01aa4428eeea7531240,ชิปแรง 5G ใช้งานได้จริงจัง ,2,iPhone 14,Apple,pos,,TRUE
138,64b6c01aa4428eeea7531244,แต่ภาพรวมมันไม่คุ้ม ,109,iPhone 14,Apple,neg,,TRUE
140,64b6c01aa4428eeea7531246,ผมใช้ oneplus7pro จอ90hzอย่างลื่น  ,2,iPhone 14,Apple,pos,,TRUE
141,64b6c01aa4428eeea7531246,ไม่ไหวจิงๆคับวางเร็วมาก ,2,iPhone 14,Apple,neg,,TRUE
142,64b6c01aa4428eeea7531246,สู้ตัวproไม่ได้เลย แต่ราคาก็ดีดน่าดู😅,2,iPhone 14,Apple,neg,,TRUE
143,64b6c01aa4428eeea7531248,หลอกได้ ,1,iPhone 14,Apple,neg,,TRUE
144,64b6c01aa4428eeea7531248,เเค่ติ่ง ,1,iPhone 14,Apple,neu,,TRUE
145,64b6c01aa4428eeea7531248,สเปคไม่ได้ ,1,iPhone 14,Apple,neg,,TRUE
146,64b6c01aa4428eeea7531248,ดีกว่าแอนดรอยเรื่องธง ,1,iPhone 14,Apple,pos,,TRUE
147,64b6c01aa4428eeea7531248,มันเหมาะสมกับราคาที่เสียไป,1,iPhone 14,Apple,pos,,TRUE
148,64b6c01aa4428eeea7531249,Apple เอาเปรียบผู้บริโภคเกินไป ,2,iPhone 14,Apple,neg,,TRUE
149,64b6c01aa4428eeea7531249,มันไม่ใส่ให้ ตั้งราคาขายแพงมาก,2,iPhone 14,Apple,neg,,TRUE
150,64b6c01aa4428eeea7531253,ของจริงที่ศูนย์แล้วแตกต่างกันมาก14มันลื่นจอสวยคมชัดสีสวยขอบจอบางมาก,0,iPhone 14,Apple,pos,จอ:pos,TRUE
151,64b6c01aa4428eeea753125e,เห็นด้วยทุกอย่าง คิดเหมือนกัน ,1,iPhone 14,Apple,neu,,TRUE
152,64b6c01aa4428eeea753125e,ไม่ควรมีละ เหมือนยังเห่อยุ  ความจุ 128 รับได้ แต่ตัวpro ,1,iPhone 14,Apple,neg,,TRUE
153,64b6c01aa4428eeea7531264,สมัยนี้หน้าจอควรจะขั้นต่ำ90FPSนะ ต่อให้เป็นตัวต่ำก็เถอะ,0,iPhone 14,Apple,neu,,TRUE
154,64b6c01aa4428eeea753126d,ดีเรื่องกล้องหน้า ,0,iPhone 14,Apple,pos,กล้อง:pos,TRUE
155,64b6c01aa4428eeea753126d,Autofocusแย่ตรง ,0,iPhone 14,Apple,neg,กล้อง:neg,TRUE
156,64b6c01aa4428eeea753126e,สำหรับเรานะ ฟีเจอร์ Always on display ของ andriod ดีกว่า ของ ios ,3,iPhone 14,Apple,pos,,TRUE
157,64b6c01aa4428eeea753126e,มันเหมือนเรายังไม่ปิดหน้าจอแล้วมันขัดใจ(!คหสต.!),3,iPhone 14,Apple,neg,,TRUE
158,64b6c01aa4428eeea753126f,ใช่ครับให้90hzมาก็ได้ผมชอบiphoneถึงไม่เคยซื้อมาใช้แต่เคยใช้ของป้าและเพื่อนชอบเลยเล่นเกมลื่นกล้องวิดีโอดีระบบiosมันจริงดีถ้ามีเงินคงไปใช้iosแต่มันกั๊กแบบนี้ไม่น่าใช้,1,iPhone 14,Apple,neg,,TRUE
161,64b6c01aa4428eeea7531275,ไม่ต้องสืบเลยครับ  AD พังไปก่อนแน่นอน😂😂,1,iPhone 14,Apple,neg,,TRUE
162,64b6c01aa4428eeea753127b,Apple ดูถูกลูกค้าเกินไป ,6,iPhone 14,Apple,neg,,TRUE
163,64b6c01aa4428eeea753127b,ความคืบหน้าทางเทคโนโลยีแต่ละปีพัฒนาน้อยมาก ,6,iPhone 14,Apple,neg,,TRUE
164,64b6c01aa4428eeea753127f,เมื่อก่อน iphone เรียบๆปรับแต่งอะไรก็ไม่ได้ ,40,iPhone 14,Apple,neg,,TRUE
165,64b6c01aa4428eeea753127f,แต่เดี๋ยวนี้แบตอึดที่สุดในบรรดากลุ่มสมาร์ทโฟนถึงแม้แบตจะมีน้อยกว่าเจ้าอื่นเยอะก็ตาม ,40,iPhone 14,Apple,pos,แบต:pos,TRUE
166,64b6c01aa4428eeea753127f,ตัวอย่างที่ยกมามันเกิดจากการพัฒนาเพื่อสร้างความพึ่งพอใจให้กับลูกค้า และเพื่อขยายฐานลูกค้าในอนาคตให้มากขึ้น ,40,iPhone 14,Apple,neu,,TRUE
167,64b6c01aa4428eeea753127f,"เมื่อก่อนคอนเซ็บของ apple คือ ""apple คิดเราใช้"" ความหมายของประโยคนี้คือชัดเจนที่สุด ",40,iPhone 14,Apple,neu,,TRUE
168,64b6c01aa4428eeea753127f,แต่เดี๋ยวนี้เปลี่ยนไป apple ฟังลูกค้ามากขึ้น ,40,iPhone 14,Apple,pos,,TRUE
170,64b6c01aa4428eeea753127f,คนด่า apple เก็บข้อมูลเพื่อเอาไปพัฒนาผลิตภัณฑ์ ,40,iPhone 14,Apple,neu,,TRUE
171,64b6c01aa4428eeea753127f,ผมจะสื่อความหมายว่า การตำนิจุดด้อยจุดบอดต่างๆ ที่ลูกค้าเห็นว่าไม่ดี ,40,iPhone 14,Apple,neu,,TRUE
173,64b6c01aa4428eeea753127f,อาจจะเป็นคนที่ฉุดรั้งการพัฒนาการของ iphone เสียเอง ,40,iPhone 14,Apple,neg,,TRUE
175,64b6c01aa4428eeea753127f,"จริงๆ แล้ว ติ่ง apple ต้องขอบคุณคนที่ คอยติ คอยติ่ง apple มาโดยตลอดในช่วงหลายปีที่ผ่านมา เพราะมันทำให้พวกคุณ ""ติ่ง"" ได้ใช้ iphone ที่ดีและตอบโจทย์การใช้งานมากขึ้นอย่างทุกวันนี้",40,iPhone 14,Apple,pos,,TRUE
176,64b6c01aa4428eeea7531282,cpuเก่าพอได้ครับเพราะยังแรงอยู่แต่จอ60hzเกินไปอย่างน้อยให้มา90hzก็ได้ขายแพงแล้วตัวท็อปได้สเปกดีแต่ตัวล่างกลางสเปกต่ำ,0,iPhone 14,Apple,neg,จอ:neg,TRUE
177,64b6c01aa4428eeea7531283,ใช้ 14 เหมือนกันครับเซ็งตรง จอ 60HZ กับ CPU นี่แหละแต่ย้ายมาจาก 6S ก็ถือว่าคุ้มค่าคุ้มราคาครับเน้นใช้งานกันยาวๆ 5555,6,iPhone 14,Apple,pos,,TRUE
178,64b6c01aa4428eeea7531290,ควรให้ซัก 90 เฮิร์ทน่าจะดี,0,iPhone 14,Apple,neu,จอ:neu,TRUE
181,64b6c01aa4428eeea7531296,"นี่ยังใช้ 11 ต่อไป เปลี่ยนแบตเอา , แพงขึ้น ",2,iPhone 14,Apple,neu,,TRUE
182,64b6c01aa4428eeea7531296,"กล้องดีขึ้นนิดนึง type c ก็มีเปลี่ยน , หัวชาร์จก็ไม่ให้ , cpu เดิม",2,iPhone 14,Apple,neg,จอ:pos,TRUE
183,64b6c01aa4428eeea753129e,"เรื่องกล้องเท่าที่ดุมา 13 ดีว่าทั้ง รุ่นธรรมดา, pro ,pro max 14 ออกแนว จืดๆ rawๆ realๆ13 สีสันสดใส",5,iPhone 14,Apple,neg,กล้อง:neg,TRUE
186,64b6c01aa4428eeea75312c3,ใช้งานนานมาก 14 ก็คุ้มแล้ว ,21,iPhone 14,Apple,pos,,TRUE
190,64b6c01aa4428eeea75312cb,13 pm เสียดาย ถ่ายวีดีโอ กันสั่น ,0,iPhone 14,Apple,neg,กล้อง:neg,TRUE
191,64b6c01aa4428eeea75312d9,จากใจเราคนใช้ mini นะคะ ถ้ารับเรื่องเครื่องเล็กได้ ,0,iPhone 14,Apple,neu,,TRUE
192,64b6c01aa4428eeea75312d9,แต่ถ้าชอบจอใหญ่ๆ ชอบดูแบบชัดๆ ไป 12 ค่ะ แต่สำหรับเรารับได้ค่ะ เพราะเราเคยใช้ 8 Plus มา เครื่องใหญ่ หนักมาก ,0,iPhone 14,Apple,pos,,TRUE
193,64b6c01aa4428eeea75312d9,ถือตกใส่หน้าทีหน้าชา ,0,iPhone 14,Apple,neg,,TRUE
194,64b6c01aa4428eeea75312db,@Koppa SSS 12 ดีกว่าครับmini แบตไหลมากก,0,iPhone 14,Apple,neg,แบต:neg,TRUE
195,64b6c01aa4428eeea75312dd,แบตเตอรี่ ไป 12 ดีกว่า mini ,1,iPhone 14,Apple,pos,,TRUE
196,64b6c01aa4428eeea75312eb,13pmมือสองสภาพดีๆแบตเหลือๆ ก็ไม่เกิน40kนะครับ,0,iPhone 14,Apple,neu,,TRUE
